ticker,company_name,sector,market_cap,total_debt,equity_volatility,lgd,last_updated,data_source
CHPT,"ChargePoint Holdings, Inc.",Consumer Cyclical,150983200.0,249237000.0,0.746746,0.4,2026-07-08,yfinance
EVGO,"EVgo, Inc.",Consumer Cyclical,571224064.0,322475000.0,0.615978,0.4,2026-07-08,yfinance
BLNK,Blink Charging Co.,Industrials,84772528.0,7395000.0,0.9234,0.4,2026-07-08,yfinance
CEG,Constellation Energy Corporation,Utilities,85600927744.0,22466000000.0,0.471603,0.4,2026-07-08,yfinance
EQR,Equity Residential,Real Estate,27104276480.0,8643319000.0,0.202007,0.5,2026-07-08,yfinance
AVB,"AvalonBay Communities, Inc.",Real Estate,27720382464.0,9523735000.0,0.207196,0.5,2026-07-08,yfinance
SMPL,The Simply Good Foods Company,Consumer Defensive,1219216128.0,442372000.0,0.473381,0.35,2026-07-08,yfinance
PR,Permian Resources Corporation,Energy,16446725120.0,3687598000.0,0.335881,0.45,2026-07-08,yfinance
CHRD,Chord Energy Corporation,Energy,6577996288.0,1615390000.0,0.38116,0.45,2026-07-08,yfinance
MTDR,Matador Resources Company,Energy,6474652672.0,3566052000.0,0.407314,0.45,2026-07-08,yfinance
SIRI,Sirius XM Holdings Inc.,Communication Services,10337597440.0,9747000000.0,0.346034,0.4,2026-07-08,yfinance
ALKS,Alkermes plc,Healthcare,9203837952.0,1581660000.0,0.418339,0.35,2026-07-08,yfinance
MNDY,monday.com Ltd.,Technology,3608473856.0,177573000.0,0.698748,0.35,2026-07-08,yfinance
NTRA,"Natera, Inc.",Healthcare,40282185728.0,240081000.0,0.442527,0.35,2026-07-08,yfinance
CQP,"Cheniere Energy Partners, L.P.",Energy,30829406208.0,14218000000.0,0.281474,0.45,2026-07-08,yfinance
GAP,"The Gap, Inc.",Consumer Cyclical,6864798208.0,5642000000.0,0.458253,0.4,2026-07-08,yfinance
FBIN,"Fortune Brands Innovations, Inc.",Industrials,6089928704.0,2962900000.0,0.46973,0.4,2026-07-08,yfinance
FISV,"Fiserv, Inc.",Unknown,28107816960.0,29307000000.0,0.694076,0.4,2026-07-08,yfinance
XYZ,"Block, Inc.",Technology,46162235392.0,8133391000.0,0.475311,0.35,2026-07-08,yfinance
VTRS,Viatris Inc.,Healthcare,19750813696.0,14610000000.0,0.322316,0.35,2026-07-08,yfinance
